Gene_ID,Gene_Annotation ,Protein_Sequence_Length,mean_Similarity,NO_GOs ,Gos,Enzyme_Codes
g10274.t1,Not Available,520,,0,-,
g10275.t1,mitochondrial import inner membrane translocase subunit tim10,711,79.65%,5,F:metal ion binding; P:protein import into mitochondrial inner membrane; C:mitochondrial inner membrane; C:mitochondrial intermembrane space protein transporter complex; P:transmembrane transport,-
g10276.t1,predicted protein [Ajellomyces capsulatus NAm1],597,78.00%,0,-,
g10277.t1,26s proteasome regulatory subunit,1152,93.95%,1,C:proteasome complex,-
g10278.t1,histone deacetylase rpd3,638,82.45%,2,F:histone deacetylase activity; P:histone deacetylation,-
g10279.t1,alcohol dehydrogenase,347,59.45%,5,P:ascospore formation; P:pathogenesis; F:alcohol dehydrogenase (NAD) activity; F:zinc ion binding; P:oxidation reduction,EC:1.1.1.1
g1028.t1,phosphate transporter,191,83.50%,3,C:membrane; C:endoplasmic reticulum; P:phosphate transport,-
g10280.t1,Not Available,175,,0,-,
g10281.t1,methyltransferase domain-containing protein,440,56.40%,2,F:methyltransferase activity; P:methylation,EC:2.1.1.0
g10282.t1,hypothetical protein AFUA_4G08860 [Aspergillus fumigatus Af293],348,73.00%,0,-,
g10283.t1,amidohydrolase family protein,864,74.95%,3,F:hydrolase activity; P:metabolic process; F:o-pyrocatechuate decarboxylase activity,EC:4.1.1.46
g10284.t1,duf1479 domain protein,499,72.30%,1,P:biological_process,
g10285.t1,Not Available,217,,0,-,
g10286.t1,fungal specific transcription,628,49.35%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g10287.t1,Not Available,417,,0,-,
g10288.t1,Not Available,712,,0,-,
g10289.t1,dihydroxyacid dehydratase,909,52.25%,1,F:zinc ion binding,-
g1029.t1,heat shock protein 70-like protein,951,71.30%,2,F:ATP binding; P:response to stress,-
g10290.t1,set domain protein,628,60.80%,3,F:nucleic acid binding; F:ATP binding; F:ATP-dependent helicase activity,-
g10291.t1,Not Available,314,,0,-,
g10292.t1,glycoside hydrolase family 63 protein,846,62.05%,2,P:oligosaccharide metabolic process; F:mannosyl-oligosaccharide glucosidase activity,EC:3.2.1.106
g10293.t1,Not Available,116,,0,-,
g10294.t1,integral membrane protein,897,56.15%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10295.t1,hypothetical protein MGG_09720 [Magnaporthe oryzae 70-15],809,58.00%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10296.t1,hypothetical protein MGG_09109 [Magnaporthe oryzae 70-15],369,78.50%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10297.t1,Not Available,211,,0,-,
g10298.t1,Not Available,188,,0,-,
g10299.t1,carboxylesterase family protein,553,64.35%,1,F:triglyceride lipase activity,EC:3.1.1.3
g103.t1,Not Available,247,,0,-,
g1030.t1,Not Available,841,,0,-,
g10300.t1,mynd finger,370,48.30%,1,F:zinc ion binding,-
g10301.t1,Not Available,281,,0,-,
g10302.t1,Not Available,115,,0,-,
g10303.t1,methyltransferase domain-containing protein,350,57.85%,2,F:methyltransferase activity; P:methylation,EC:2.1.1.0
g10304.t1,methyltransferase domain-containing protein,362,68.05%,2,F:methyltransferase activity; P:methylation,EC:2.1.1.0
g10305.t1,beta-xylosidase,552,61.45%,3,"P:carbohydrate metabolic process; F:alpha-N-arabinofuranosidase activity; F:xylan 1,4-beta-xylosidase activity",EC:3.2.1.55; EC:3.2.1.37
g10306.t1,cell wall glycosyl hydrolase,387,73.25%,3,P:metabolic process; F:hydrolase activity; F:transferase activity,-
g10307.t1,glycoside hydrolase family 28 protein,438,68.95%,5,"F:polygalacturonase activity; F:galacturan 1,4-alpha-galacturonidase activity; P:cellular cell wall organization; C:extracellular region; P:pectin catabolic process",EC:3.2.1.15; EC:3.2.1.67
g10308.t1,Not Available,269,,0,-,
g10309.t1,c6 finger domain,446,50.65%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g1031.t1,Not Available,381,,0,-,
g10310.t1,Not Available,286,,0,-,
g10311.t1,rta1 domain,303,64.80%,2,C:integral to membrane; P:response to stress,-
g10312.t1,dj-1 family protein,244,62.70%,1,P:mycelium development,-
g10313.t1,cyclopropane-fatty-acyl-phospholipid synthase,895,81.40%,3,F:cyclopropane-fatty-acyl-phospholipid synthase activity; P:lipid biosynthetic process; P:methylation,EC:2.1.1.79
g10314.t1,Not Available,651,,0,-,
g10315.t1,duf636 domain protein,865,52.85%,2,F:carbon-sulfur lyase activity; P:metabolic process,-
g10316.t1,het domain-containing protein,524,60.90%,1,F:zinc ion binding,-
g10317.t1,Not Available,425,,0,-,
g10318.t1,hypothetical protein MAA_05352 [Metarhizium anisopliae ARSEF 23],212,68.50%,2,F:molecular_function; P:biological_process,
g10319.t1,hypothetical protein [Podospora anserina S mat+],110,61.00%,0,-,
g1032.t1,phosphatidylinositol n-acetylglucosaminyltransferase gpi3 subunit,480,82.75%,2,P:GPI anchor biosynthetic process; F:phosphatidylinositol N-acetylglucosaminyltransferase activity,EC:2.4.1.198
g10320.t1,hypothetical protein NECHADRAFT_47830 [Nectria haematococca mpVI 77-13-4],435,43.25%,0,-,
g10321.t1,pp-loop family protein,921,51.65%,5,"C:cytoplasm; F:ligase activity, forming carbon-nitrogen bonds; P:tRNA modification; F:ATP binding; P:translation",-
g10322.t1,Not Available,398,,0,-,
g10323.t1,s-adenosylmethionine mitochondrial carrier protein,454,68.55%,5,F:binding; C:mitochondrial inner membrane; P:mycelium development; P:transmembrane transport; C:integral to membrane,-
g10324.t1,Not Available,238,,0,-,
g10325.t1,Not Available,793,,0,-,
g10326.t1,wd repeat protein,1005,66.95%,0,-,
g10327.t1,hypothetical protein CH063_02862 [Colletotrichum higginsianum],271,41.07%,0,-,
g10328.t1,Not Available,133,,0,-,
g10329.t1,Not Available,243,,0,-,
g1033.t1,peptidase family m1,1548,81.50%,4,F:metallopeptidase activity; P:proteolysis; F:zinc ion binding; F:aminopeptidase activity,EC:3.4.11.0
g10330.t1,hypothetical protein AKAW_04135 [Aspergillus kawachii IFO 4308],334,67.00%,0,-,
g10331.t1,aspartate aminotransferase,633,84.20%,5,F:pyridoxal phosphate binding; P:cellular amino acid metabolic process; P:mycelium development; P:biosynthetic process; F:L-aspartate:2-oxoglutarate aminotransferase activity,EC:2.6.1.1
g10332.t1,hypothetical protein MAA_02670 [Metarhizium anisopliae ARSEF 23],731,58.20%,2,F:tryptophan synthase activity; P:tryptophan biosynthetic process,EC:4.2.1.20
g10333.t1,50s ribosomal protein l24,927,64.70%,3,C:ribosome; F:structural constituent of ribosome; P:translation,-
g10334.t1,tryptophan synthase,967,85.95%,4,F:tryptophan synthase activity; F:pyridoxal phosphate binding; P:mycelium development; P:tryptophan biosynthetic process,EC:4.2.1.20
g10335.t1,aspartic proteinase,449,65.25%,2,F:aspartic-type endopeptidase activity; P:proteolysis,EC:3.4.23.0
g10336.t1,indole-diterpene biosynthesis protein,1558,47.90%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10337.t1,domain-containing protein,1777,72.75%,1,F:DNA binding,-
g10338.t1,4-hydroxybenzoate polyprenyl transferase,640,82.45%,7,P:cell redox homeostasis; C:integral to membrane; F:prenyltransferase activity; F:electron carrier activity; F:protein disulfide oxidoreductase activity; P:biosynthetic process; F:DNA binding,-
g10339.t1,40s ribosomal protein s23,801,96.45%,4,F:structural constituent of ribosome; C:small ribosomal subunit; P:translation; C:mitochondrion,-
g1034.t1,3-deoxy-d-manno-octulosonic acid 8-phosphate synthase,1113,48.33%,1,F:aminopeptidase activity,EC:3.4.11.0
g10340.t1,hypothetical protein CH063_11235 [Colletotrichum higginsianum],481,66.75%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10341.t1,endopeptidase inhibitor-like protein,98,59.35%,3,P:negative regulation of catalytic activity; F:identical protein binding; F:serine-type endopeptidase activity,EC:3.4.21.0
g10342.t1,Not Available,855,,0,-,
g10343.t1,microtubule binding protein,936,52.10%,3,P:microtubule cytoskeleton organization; C:cytoplasm; F:microtubule binding,-
g10344.t1,autophagy protein 8,118,100.00%,4,C:autophagic vacuole membrane; C:CVT vesicle membrane; P:autophagy; P:protein transport,-
g10345.t1,Not Available,138,,0,-,
g10346.t1,26s proteasome regulatory subunit rpn-8,1689,91.40%,1,C:proteasome complex,-
g10347.t1,coproporphyrinogen iii oxidase,359,83.00%,3,F:coproporphyrinogen oxidase activity; P:porphyrin biosynthetic process; P:oxidation reduction,EC:1.3.3.3
g10348.t1,hypothetical protein GLRG_08056 [Glomerella graminicola M1.001],304,56.41%,1,F:zinc ion binding,-
g10349.t1,Not Available,183,,0,-,
g1035.t1,tyrosine-protein phosphatase non-receptor,981,61.85%,3,F:protein tyrosine phosphatase activity; F:receptor activity; P:peptidyl-tyrosine dephosphorylation,EC:3.1.3.48
g10350.t1,adenylate kinase,261,87.55%,7,C:mitochondrial intermembrane space; F:adenylate kinase activity; P:mycelium development; P:nucleotide biosynthetic process; F:ATP binding; C:cytosol; P:nucleotide phosphorylation,EC:2.7.4.3
g10351.t1,integral membrane protein,217,77.85%,0,-,
g10352.t1,Not Available,372,,0,-,
g10353.t1,Not Available,410,,0,-,
g10354.t1,allantoate permease,509,82.75%,1,P:transmembrane transport,-
g10355.t1,Not Available,1042,,0,-,
g10356.t1,abc drug exporter,1560,77.65%,5,"P:transport; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:ATP catabolic process; F:ATP binding",-
g10357.t1,Not Available,455,,0,-,
g10358.t1,heterokaryon incompatibility protein,667,48.75%,0,-,
g10359.t1,mfs transporter,2036,56.40%,0,-,
g1036.t1,Not Available,206,,0,-,
g10360.t1,mfs transporter,490,68.10%,2,P:transmembrane transport; F:metal ion binding,-
g10361.t1,Not Available,146,,0,-,
g10362.t1,Not Available,128,,0,-,
g10363.t1,hypothetical protein NCU00873 [Neurospora crassa OR74A],243,59.10%,0,-,
g10364.t1,nacht and wd domain protein,1620,49.70%,4,"P:GPI anchor metabolic process; F:hydrolase activity, acting on ester bonds; P:intracellular protein transport; C:intrinsic to endoplasmic reticulum membrane",-
g10365.t1,short-chain dehydrogenase reductase,334,66.45%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g10366.t1,Not Available,190,,0,-,
g10367.t1,protein rds1,503,83.55%,3,C:endoplasmic reticulum; P:response to stress; P:mycelium development,-
g10368.t1,Not Available,328,,0,-,
g10369.t1,hhe domain protein,225,72.15%,0,-,
g1037.t1,Not Available,357,,0,-,
g10370.t1,f-box domain containing protein,1186,37.65%,0,-,
g10371.t1,Not Available,147,,0,-,
g10372.t1,Not Available,787,,0,-,
g10373.t1,Not Available,99,,0,-,
g10374.t1,phosphate-repressible phosphate permease,581,80.25%,8,F:pyridoxal phosphate binding; P:phosphate transport; F:L-aspartate:2-oxoglutarate aminotransferase activity; P:biosynthetic process; F:inorganic phosphate transmembrane transporter activity; P:cellular amino acid metabolic process; C:integral to membrane; F:symporter activity,EC:2.6.1.1
g10375.t1,chitin binding protein 1,321,49.30%,1,F:chitin binding,-
g10376.t1,ferric-chelate reductase,579,61.05%,6,F:FAD binding; C:integral to membrane; F:iron ion binding; F:electron carrier activity; P:oxidation reduction; F:ferric-chelate reductase activity,EC:1.16.1.7
g10377.t1,heterokaryon incompatibility protein,633,49.75%,0,-,
g10378.t1,Not Available,132,,0,-,
g10379.t1,Not Available,81,,0,-,
g1038.t1,Not Available,90,,0,-,
g10380.t1,Not Available,569,,0,-,
g10381.t1,glycoside hydrolase family 5 protein,759,75.85%,3,"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:cation binding",EC:3.2.1.0
g10382.t1,Not Available,133,,0,-,
g10383.t1,2-oxoisovalerate dehydrogenase subunit beta,845,88.20%,2,F:catalytic activity; P:metabolic process,-
g10384.t1,2-nitropropane dioxygenase family,596,89.50%,3,"F:2-nitropropane dioxygenase activity; P:oxidation reduction; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",EC:1.13.12.16; EC:1.13.11.0
g10385.t1,Not Available,333,,0,-,
g10386.t1,hypothetical protein CH063_09038 [Colletotrichum higginsianum],141,78.95%,2,C:intracellular; F:double-stranded RNA binding,-
g10387.t1,Not Available,92,,0,-,
g10388.t1,Not Available,201,,0,-,
g10389.t1,hypothetical protein GLRG_08839 [Glomerella graminicola M1.001],1048,71.15%,3,F:molecular_function; P:biological_process; C:cellular_component,
g1039.t1,hypothetical protein MAP1839 [Mycobacterium avium subsp. paratuberculosis K-10],534,46.00%,0,-,
g10390.t1,30s ribosomal protein s7,310,69.25%,3,C:ribosome; F:structural constituent of ribosome; P:translation,-
g10391.t1,Not Available,386,,0,-,
g10392.t1,usp domain-containing protein,645,51.15%,1,P:response to stress,-
g10393.t1,Not Available,568,,0,-,
g10394.t1,Not Available,957,,0,-,
g10395.t1,polyadenylate-binding protein,756,88.30%,8,C:cytoplasm; P:mycelium development; F:RNA binding; P:mRNA transport; P:mRNA processing; P:regulation of translation; C:nucleus; F:nucleotide binding,-
g10396.t1,e3 ubiquitin-protein ligase,1146,59.90%,3,P:protein ubiquitination during ubiquitin-dependent protein catabolic process; C:intracellular; F:ubiquitin-protein ligase activity,EC:6.3.2.19
g10397.t1,Not Available,425,,0,-,
g10398.t1,Not Available,272,,0,-,
g10399.t1,glycoside hydrolase family 92 protein,837,68.65%,4,P:carbohydrate metabolic process; P:response to cAMP; F:hydrolase activity; P:mycelium development,-
g104.t1,Not Available,320,,0,-,
g1040.t1,26s protease regulatory subunit 8,461,97.80%,6,F:nucleoside-triphosphatase activity; C:cytoplasm; F:ATP binding; C:proteasome complex; P:protein catabolic process; F:peptidase activity,EC:3.6.1.15
g10400.t1,Not Available,529,,0,-,
g10401.t1,electron transfer flavoprotein-ubiquinone oxidoreductase,621,88.15%,3,F:monooxygenase activity; P:oxidation reduction; F:electron-transferring-flavoprotein dehydrogenase activity,EC:1.5.5.1
g10402.t1,phage spo1 dna polymerase-related protein,497,53.07%,0,-,
g10403.t1,Not Available,440,,0,-,
g10404.t1,tata-box binding protein,291,78.70%,7,"F:transcription factor activity; P:translational initiation; F:DNA binding; F:RNA polymerase II transcription factor activity; P:transcription initiation from RNA polymerase II promoter; F:translation initiation factor activity; P:regulation of transcription, DNA-dependent",-
g10405.t1,Not Available,1087,,0,-,
g10406.t1,fructosyl-amino acid oxidase,475,63.15%,3,F:oxidoreductase activity; P:oxidation reduction; F:binding,-
g10407.t1,coatamer subunit protein,797,65.95%,0,-,
g10408.t1,grisea protein,668,50.05%,5,"F:transcription factor activity; F:copper ion binding; F:DNA binding; C:nucleus; P:regulation of transcription, DNA-dependent",-
g10409.t1,Not Available,373,,0,-,
g1041.t1,calcium permease,1137,70.25%,2,P:transmembrane transport; C:integral to membrane,-
g10410.t1,Not Available,198,,0,-,
g10411.t1,Not Available,797,,0,-,
g10412.t1,hypothetical protein HMPREF1120_01973 [Exophiala dermatitidis NIH/UT8656],354,74.10%,0,-,
g10413.t1,nicotinamide n-methyltransferase,257,72.10%,4,"F:nicotinamide N-methyltransferase activity; C:cytoplasm; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; P:methylation",EC:2.1.1.1; EC:1.13.11.0
g10414.t1,phytanoyl- dioxygenase,306,72.65%,4,"F:nicotinamide N-methyltransferase activity; C:cytoplasm; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; P:methylation",EC:2.1.1.1; EC:1.13.11.0
g10415.t1,mfs transporter,471,68.75%,3,P:transmembrane transport; C:membrane; F:transporter activity,-
g10416.t1,beta-glucosidase 2,820,75.30%,3,C:extracellular region; F:beta-glucosidase activity; P:cellulose catabolic process,EC:3.2.1.21
g10417.t1,Not Available,265,,0,-,
g10418.t1,mfs transporter,498,73.70%,1,P:transmembrane transport,-
g10419.t1,Not Available,136,,0,-,
g1042.t1,Not Available,901,,0,-,
g10420.t1,Not Available,166,,0,-,
g10421.t1,Not Available,497,,0,-,
g10422.t1,Not Available,141,,0,-,
g10423.t1,Not Available,380,,0,-,
g10424.t1,casein kinase i,518,92.70%,3,F:ATP binding; P:protein amino acid phosphorylation; F:protein serine/threonine kinase activity,EC:2.7.11.0
g10425.t1,ankyrin repeat protein,545,49.50%,1,F:transferase activity,-
g10426.t1,pectin lyase a precursor,379,79.00%,4,F:pectin lyase activity; C:extracellular region; P:cellular cell wall organization; P:pectin catabolic process,EC:4.2.2.10
g10427.t1,Not Available,276,,0,-,
g10428.t1,Not Available,391,,0,-,
g10429.t1,Not Available,612,,0,-,
g1043.t1,Not Available,153,,0,-,
g10430.t1,hypothetical protein [Podospora anserina S mat+],298,55.67%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10431.t1,peptidoglycan binding domain-containing protein,843,51.55%,2,F:molecular_function; C:cellular_component,
g10432.t1,Not Available,299,,0,-,
g10433.t1,polyunsaturated fatty acid conjugated linoleic acid-producing,466,44.90%,4,F:monooxygenase activity; P:oxidation reduction; F:isomerase activity; F:nucleotide binding,-
g10434.t1,Not Available,425,,0,-,
g10435.t1,histidine acid,482,64.20%,1,F:acid phosphatase activity,EC:3.1.3.2
g10436.t1,Not Available,131,,0,-,
g10437.t1,Not Available,597,,0,-,
g10438.t1,high-affinity glucose transporter ght2,538,79.90%,5,F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:mycelium development; P:transmembrane transport; P:carbohydrate transport,-
